chr7	59923034	59923122	ENSMUSG00000077772_1	89	-	SNORD116_musculus300674
chr7	59804471	59804564	ENSMUSG00000093802_1	92	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59781780	59781873	ENSMUSG00000093869_1	92	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59673461	59673554	ENSMUSG00000093929_1	94	-	SNORD116_musculus300083
chr7	59889593	59889686	ENSMUSG00000093971_1	94	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59861731	59861824	ENSMUSG00000093974_1	94	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59887057	59887150	ENSMUSG00000094039_1	94	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59779250	59779343	ENSMUSG00000094060_1	92	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59700878	59700971	ENSMUSG00000094069_1	94	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
chr7	59764088	59764181	ENSMUSG00000094109_1	90	-	SNORD116_musculus300068,SNORD116_musculus300069,SNORD116_musculus300268,SNORD116_musculus300085,SNORD116_musculus300087,SNORD116_musculus300061,SNORD116_musculus300062,SNORD116_musculus300063,SNORD116_musculus300064,SNORD116_musculus300065,SNORD116_musculus300066,SNORD116_musculus300067,SNORD116_musculus300055,SNORD116_musculus300056,SNORD116_musculus300072,SNORD116_musculus300071,SNORD116_musculus300059,SNORD116_musculus300058
